Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-MAR-2015,8537.05,8627.75,8535.85,8542.95,161465466,7913.26
25-MAR-2015,8568.9,8573.75,8516.55,8530.8,165952155,8200.05
26-MAR-2015,8474.95,8499.45,8325.35,8342.15,288758332,13667.31
27-MAR-2015,8396,8413.2,8269.15,8341.4,198979321,9528.86
30-MAR-2015,8390.95,8504.55,8380.75,8492.3,142061290,6713.2
31-MAR-2015,8527.6,8550.45,8454.15,8491,177059509,8108.36
01-APR-2015,8483.7,8603.4,8464.75,8586.25,136312446,6863.03
06-APR-2015,8615.8,8667.55,8573.75,8659.9,150877855,7633
07-APR-2015,8684.45,8693.6,8586.85,8660.3,141765381,7287.01
08-APR-2015,8698.95,8730.5,8679.8,8714.4,149617725,7889.65
09-APR-2015,8756.2,8785.5,8682.45,8778.3,158192905,8391.19
10-APR-2015,8774.35,8787.4,8733.6,8780.35,141464357,7119.96
13-APR-2015,8801.75,8841.65,8762.1,8834,122833397,6242.71
15-APR-2015,8844.75,8844.8,8722.4,8750.2,170458015,8908.26
16-APR-2015,8757.05,8760,8645.65,8706.7,149337173,8268.33
17-APR-2015,8698.05,8699.85,8596.7,8606,155474164,9134.37
20-APR-2015,8618.8,8619.95,8422.75,8448.1,154492312,8930.38
21-APR-2015,8416.1,8469.35,8352.7,8377.75,418959074,32873.45
22-APR-2015,8400.4,8449.95,8284.7,8429.7,176926942,10002.48
23-APR-2015,8478.2,8504.95,8361.85,8398.3,169840748,9801.34
24-APR-2015,8405.7,8413.3,8273.35,8305.25,177843969,10984.24
27-APR-2015,8330.55,8334.45,8202.35,8213.8,174706337,10143.36
28-APR-2015,8215.55,8308,8185.15,8285.6,183754628,9560.13
29-APR-2015,8274.8,8308.2,8219.2,8239.75,174958511,8571.95
30-APR-2015,8224.5,8229.4,8144.75,8181.5,281696257,14755.35
04-MAY-2015,8230.05,8346,8220.45,8331.95,136913823,7856.18
05-MAY-2015,8338.4,8355.65,8280.6,8324.8,156019941,8138.54
06-MAY-2015,8316.6,8331.95,8083,8097,212509839,10894.12
07-MAY-2015,8077,8122.6,7997.15,8057.3,166563657,8443.96
08-MAY-2015,8131.5,8224.95,8123.45,8191.5,188776090,8961.33
11-MAY-2015,8243.2,8332.75,8224.65,8325.25,197882948,8396.12
12-MAY-2015,8326.15,8326.65,8115.3,8126.95,178753978,8779.53
13-MAY-2015,8181.55,8254.95,8089.8,8235.45,175015183,8391.93
14-MAY-2015,8232.45,8236.25,8137.3,8224.2,138964395,6763.72
15-MAY-2015,8240.3,8279.2,8212.2,8262.35,133838055,6463.64
18-MAY-2015,8284.95,8384.6,8271.95,8373.65,153340463,7459.18
19-MAY-2015,8356.2,8427.8,8335,8365.65,144642344,7266.52
20-MAY-2015,8392.65,8440.35,8391.45,8423.25,127388797,6151.44
21-MAY-2015,8434.5,8446.35,8382.5,8421,148189485,7641.6
22-MAY-2015,8432.5,8489.55,8420.6,8458.95,193080657,8261.69
25-MAY-2015,8438.15,8441.95,8364.15,8370.25,125051166,5555.29
26-MAY-2015,8377.1,8378.9,8320.05,8339.35,120428892,5908.3
27-MAY-2015,8302.75,8342.85,8277.95,8334.6,170583401,8131.59
28-MAY-2015,8345.7,8364.5,8270.15,8319,239549060,11449.91
29-MAY-2015,8327.1,8443.9,8305.7,8433.65,375232198,20736.2
01-JUN-2015,8417.25,8467.15,8405.4,8433.4,125990614,7254.01
